City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khatanga,71.9667,102.5,251.8,87,100,3.28,RU,1679420825
1,yerbogachen,61.2767,108.0108,257.35,91,93,3.59,RU,1679420826
2,saskylakh,71.9167,114.0833,242.89,95,41,4.02,RU,1679420826
3,katsuura,35.1333,140.3,288.61,85,100,3.22,JP,1679420828
4,punta arenas,-53.15,-70.9167,285.21,62,100,9.26,CL,1679420556
5,atuona,-9.8,-139.0333,300.29,63,13,6.24,PF,1679420829
6,cabra,37.4725,-4.4421,294.7,52,92,1.42,ES,1679420829
7,vaini,-21.2,-175.2,297.24,94,20,1.03,TO,1679420830
8,finnsnes,69.2296,17.9811,269.68,94,100,2.17,NO,1679420830
9,erenhot,43.6475,111.9767,265.26,32,0,11.22,CN,1679420831
10,cape town,-33.9258,18.4232,293.38,77,20,1.54,ZA,1679420701
11,ushuaia,-54.8,-68.3,282.96,66,20,2.57,AR,1679420832
12,mataura,-46.1927,168.8643,279.93,94,100,1.22,NZ,1679420832
13,santa vitoria do palmar,-33.5189,-53.3681,295.41,52,92,4.46,BR,1679420833
14,north bend,43.4065,-124.2243,283.24,76,0,1.54,US,1679420712
15,henties bay,-22.116,14.2845,290.28,86,0,5.26,NA,1679420834
16,port elizabeth,-33.918,25.5701,294.32,81,0,10.29,ZA,1679420834
17,rikitea,-23.1203,-134.9692,299.47,78,64,4.64,PF,1679420834
18,ponta do sol,32.6667,-17.1,294.1,69,44,2.26,PT,1679420835
19,gulabpura,25.9,74.6667,296.84,34,27,0.98,IN,1679420835
20,san patricio,28.017,-97.5169,294.35,87,100,7.11,US,1679420836
21,iturama,-19.7281,-50.1956,300.82,64,7,1.71,BR,1679420836
22,kemptville,45.0168,-75.641,276.93,65,98,2.57,CA,1679420837
23,vila velha,-20.3297,-40.2925,304.12,75,20,7.72,BR,1679420837
24,yellowknife,62.456,-114.3525,255.44,60,20,4.12,CA,1679420826
25,srednekolymsk,67.45,153.6833,249.73,94,100,6.7,RU,1679420838
26,boca do acre,-8.7522,-67.3978,299.87,76,99,0.88,BR,1679420838
27,busselton,-33.65,115.3333,291.6,81,96,6.28,AU,1679420838
28,bengkulu,-3.8004,102.2655,297.72,92,100,2.3,ID,1679420839
29,dikson,73.5069,80.5464,263.71,92,100,3.98,RU,1679420839
30,cody,44.5263,-109.0565,275.73,76,40,6.17,US,1679420840
31,sao sebastiao,-23.76,-45.4097,301.27,69,11,2.13,BR,1679420841
32,bollnas,61.3482,16.3946,272.22,96,98,1.34,SE,1679420843
33,le mars,42.7942,-96.1656,284.02,62,20,7.2,US,1679420845
34,longyearbyen,78.2186,15.6401,255.06,60,75,3.6,SJ,1679420845
35,tasiilaq,65.6145,-37.6368,267.24,72,21,1.72,GL,1679420846
36,sangar,63.9242,127.4739,232.44,99,37,0.62,RU,1679420846
37,hithadhoo,-0.6,73.0833,301.23,75,100,3.39,MV,1679420847
38,santa cruz,-17.8,-63.1667,299.85,83,75,5.66,BO,1679420773
39,thompson,55.7435,-97.8558,261.24,52,75,3.09,CA,1679420713
40,viedma,-40.8135,-62.9967,296.9,27,100,1.93,AR,1679420848
41,chuy,-33.6971,-53.4616,296.1,50,82,4.69,UY,1679420848
42,hamilton,39.1834,-84.5333,287.64,28,75,6.69,US,1679420822
43,morgantown,39.6295,-79.9559,287.71,22,0,0.89,US,1679420802
